"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000103922",4.66044691341503,-1.040658096767,1.17689620205498,-0.884239489387345,0.376566945337514,0.80846896363586
"ENSMUSG00000033845",1074.57403879154,0.0183392978911348,0.272894854836984,0.0672027983161864,0.946420257428816,0.987944307502352
"ENSMUSG00000102275",22.5978144907388,-0.00243827408286722,0.526899820985686,-0.00462758571127596,0.996307733985221,0.99892226737351
"ENSMUSG00000025903",643.437137254246,0.0710376026406676,0.367892760533309,0.193093233304426,0.846885951975436,0.971101080286324
"ENSMUSG00000033813",719.572555960583,-0.650406102723462,0.252171668087336,-2.57921957552425,0.00990238212151537,0.132763075366782
"ENSMUSG00000103280",20.0135245499051,2.00796854574617,0.682366590532253,2.94265366095947,0.0032541224660716,0.0620968537906713
"ENSMUSG00000002459",100.707047742456,1.83763563386885,0.578200732007373,3.17819665756739,0.00148194197507613,0.0373674751965035
"ENSMUSG00000033793",3041.91637845637,0.703789384758883,0.286031054452253,2.46053487481153,0.0138730088251627,0.161757802694646
"ENSMUSG00000025907",4884.7503884711,0.772599879798569,0.281780502742885,2.7418500296436,0.00610942284525147,0.0964717938052961
"ENSMUSG00000090031",146.80811928386,1.1243715793742,0.327387270203221,3.4343778201158,0.000593915746866912,0.0201507128401274
"ENSMUSG00000087247",268.100063215772,2.86206126258287,0.864462853690419,3.31079727759804,0.000930305780360561,0.0270923680462046
"ENSMUSG00000103355",3.31103124827691,3.09641992703672,1.57760365278523,1.96273628142915,0.0496768250413012,NA
"ENSMUSG00000102706",7.11890293211192,1.85602419412759,1.21151110196609,1.53199107388745,0.125524637456711,0.535720131933391
"ENSMUSG00000103845",9.77233565671621,1.32828866106684,0.748993012152801,1.77343264825529,0.0761570430772711,0.420399988765114
"ENSMUSG00000033740",10.6264476483756,0.936592012402387,0.797733441955678,1.17406637749358,0.240368439493871,0.703844605815527
"ENSMUSG00000102135",2.79452955358565,-0.488199558077424,1.35863592197132,-0.359330671434824,0.719347731933878,NA
"ENSMUSG00000103629",9.15045675518404,-0.228087893084871,0.974816703592445,-0.233980288031903,0.815000281816726,0.965272607109867
"ENSMUSG00000051285",3862.97202775226,0.157268540640334,0.321939013618445,0.488504138944544,0.625192794754967,0.920792295735072
"ENSMUSG00000103509",255.292501427936,-0.22843638546127,0.443381054180714,-0.515214584176083,0.606403078840535,0.914120303516275
"ENSMUSG00000097797",6.68466766897861,0.0691326067156614,0.82562599196775,0.0837335638512236,0.933268270747951,0.986031858046737
"ENSMUSG00000025909",14.1147685626331,2.23326238809107,1.38505538396037,1.6123993408158,0.10687506822745,0.494818051658966
"ENSMUSG00000086235",4.94929804453906,0.448330427601381,1.04745416246838,0.428019137892264,0.668637187072608,0.933828557120239
"ENSMUSG00000103933",9.23908571003657,-0.523697589386358,0.718901893596125,-0.728468785590052,0.466326669722288,0.856697503129638
"ENSMUSG00000061024",934.424770177453,0.185932354621246,0.388816853361172,0.478200348091736,0.632507614797534,0.922810091168148
"ENSMUSG00000025911",253.786288361327,-1.03036891426898,0.477346446397038,-2.15853479594558,0.0308862760908079,0.261837755356514
"ENSMUSG00000079671",153.41603893164,-0.168825825128108,0.400564428223087,-0.421469839139295,0.673412030701888,0.935682704569229
"ENSMUSG00000067879",8.00009302907923,0.248393012312454,0.725211521205988,0.34251112268513,0.731966274943732,0.946832067080861
"ENSMUSG00000025912",162.07487253926,1.086809792649,0.364880008835389,2.97854024976003,0.00289624987536852,0.0578494818179755
"ENSMUSG00000045210",2679.04737051663,0.112415496271533,0.204479713380092,0.549763565359524,0.58248155173383,0.905690944463244
"ENSMUSG00000025915",243.111438420262,0.231477175054734,0.365796841336116,0.632802552939594,0.526862589426417,0.88380357059934
"ENSMUSG00000098234",816.153320062166,-0.653367144292805,0.322906995170192,-2.02339111281389,0.0430328397347218,0.313168595584984
"ENSMUSG00000093178",5.92186989113297,0.0301133130231686,0.859298683382866,0.0350440581435773,0.972044609113855,0.993962250027006
"ENSMUSG00000099032",362.968053759615,-1.25209852191111,0.496930749074905,-2.51966400598483,0.0117466902824604,0.146417079229959
"ENSMUSG00000104025",6.85415973714897,-1.16421360296749,1.02252712826828,-1.13856500310086,0.254884632256354,0.72136066750112
"ENSMUSG00000025917",2807.3080132746,0.200883324928087,0.231018215312313,0.869556215108461,0.384542974523987,0.811958313141759
"ENSMUSG00000056763",1182.05127892493,0.357286575207903,0.31976700055271,1.11733410448965,0.263851498585653,0.726733658459407
"ENSMUSG00000067851",4798.76366567682,0.222623770688163,0.240434331501957,0.92592338746911,0.354485796167326,0.794152136290843
"ENSMUSG00000102556",4.01789066646577,-1.73318479000054,1.41764084551873,-1.22258384094905,0.221486919445163,0.684358756900271
"ENSMUSG00000042501",541.985175492708,0.400758405008683,0.339539819911742,1.18029869107209,0.237881438568423,0.701824120000007
"ENSMUSG00000103810",10.8228189583041,1.21808510966945,0.76671694869835,1.58870246932376,0.112127581193133,0.506722098089308
"ENSMUSG00000083422",11.3133195734376,-0.267730918188887,0.668857527018282,-0.400280937829034,0.688949606380653,0.939220335051832
"ENSMUSG00000048960",5571.82767292859,-2.15196967525052,0.467207149157768,-4.60602899405513,4.10431188460013e-06,0.000431935816597888
"ENSMUSG00000101827",13.4430628737547,-1.12183469832941,0.797065230575805,-1.40745657355921,0.159292045713326,0.593095824862375
"ENSMUSG00000057715",6.85844809018175,0.641417802175938,1.14873290809227,0.558369833106947,0.576591868000662,0.904550224903416
"ENSMUSG00000097628",5.7710802911275,-0.592144897087449,1.18211316875117,-0.500920650188688,0.616426968706312,0.917437640386696
"ENSMUSG00000016918",7965.91701002697,1.37209575614291,0.311274233294428,4.40799658108891,1.04331191773962e-05,0.000926071058296654
"ENSMUSG00000025938",234.052750255531,-0.455623371244044,0.737096412213756,-0.618132667171244,0.536487890192965,0.889317576537953
"ENSMUSG00000005886",3950.46031327594,0.214617595885086,0.386614665376434,0.555120162542514,0.578812472540026,0.904903586004425
"ENSMUSG00000103506",16.6654044970929,-0.764889558948051,0.75186596024091,-1.01732170279789,0.309000415525213,0.763958075198333
"ENSMUSG00000103495",5.07825786402655,-0.582962942053836,1.02384896130753,-0.569383731472803,0.569095754769984,0.901657939534004
"ENSMUSG00000104170",3.3585439728903,-0.769647424471582,1.41008683811026,-0.545815621896755,0.585192683773152,NA
"ENSMUSG00000103085",12.560592333411,0.00541255612827677,0.778848698064043,0.00694943208062179,0.994455200067215,0.99892226737351
"ENSMUSG00000102664",13.5506541377034,0.236415582976039,0.867268176609294,0.272598014492286,0.785162238364306,0.958548630639498
"ENSMUSG00000101476",4.46234639707338,-0.511417822451349,0.991515431638868,-0.515794112862197,0.605998214749355,0.913994586693919
"ENSMUSG00000025935",5061.17633117973,-0.427288232249143,0.25736069379302,-1.66026997344352,0.0968601534057409,0.474711966287911
"ENSMUSG00000025937",1123.58991145553,0.267564652218778,0.306252661589988,0.873672904031751,0.382296411084664,0.811794446058133
"ENSMUSG00000102982",22.167402032712,-0.12776394222227,0.625287267738508,-0.204328392427304,0.838096884027155,0.968561234687466
"ENSMUSG00000097711",8.85133080560047,0.0789868160459293,0.860711092634648,0.091769255353907,0.926881371630826,0.984371399867786
"ENSMUSG00000025932",1231.71539905817,0.0838391350339476,0.674124280700711,0.124367475603759,0.901024324090986,0.981346123185062
"ENSMUSG00000082193",4.92104708137966,-2.03795740246071,1.08377312340899,-1.88042806971477,0.0600497609994058,0.369141150599705
"ENSMUSG00000025925",278.375687066175,-0.16121044526246,0.313887959144513,-0.513592320335675,0.607537049937124,0.914566910471911
"ENSMUSG00000032719",10.0092942890202,2.46421616724656,1.14974576336818,2.14327049140642,0.0320913848594486,0.267174840788635
"ENSMUSG00000100652",4.43651470333425,-1.39447198630002,1.12519784238257,-1.23931270908525,0.215229713910604,0.676562729740452
"ENSMUSG00000043716",5520.48866782586,-0.809359719623649,0.262592140800732,-3.08219323379458,0.0020548140172556,0.0465427976942595
"ENSMUSG00000025921",1463.52824535138,0.932424003228848,0.555918808609488,1.67726651588045,0.0934903771808446,0.467513244560504
"ENSMUSG00000100868",3.94615037590204,0.0360276078035786,1.1496373003938,0.0313382384089638,0.974999795532768,0.994926633367497
"ENSMUSG00000025920",1156.2099404602,0.149735932613168,0.341554735407751,0.438395129947217,0.661099876169964,0.932340741749889
"ENSMUSG00000025939",1977.88516107281,0.0416743135967188,0.239860297338589,0.173744108796342,0.862066570872179,0.974681758464116
"ENSMUSG00000102457",39.7518651084372,0.142111267722351,0.410922081408496,0.34583507227269,0.729466665763632,0.946292932594909
"ENSMUSG00000079658",1577.02995833874,0.432499753155507,0.338094258362255,1.27922832895938,0.200816662697715,0.65846864013054
"ENSMUSG00000025940",966.559046913324,0.634878186889337,0.387606469699734,1.6379452783158,0.101433109504501,0.483374972760738
"ENSMUSG00000025779",217.151714294182,0.221442086236083,0.295918259280933,0.748321806076367,0.454266074641334,0.851597467927621
"ENSMUSG00000091020",50.6067249258894,-0.154090527145796,0.379448090156507,-0.406091191768128,0.684675597455585,0.937574158608367
"ENSMUSG00000042686",63.0401965662511,0.0929257891361863,0.532066118974633,0.174650829703773,0.861354006020289,0.974651050098789
"ENSMUSG00000025777",13.1431551216895,0.932839740520154,0.729738696885034,1.2783202322997,0.201136536856647,0.65873981046474
"ENSMUSG00000101589",4.31091367383625,-0.635729717918804,0.993840387154308,-0.639669836460467,0.522387269476778,0.882147584727572
"ENSMUSG00000067780",8047.48115256681,-1.68450358119089,0.610305080701921,-2.76010086505181,0.00577835180467445,0.0926652967431845
"ENSMUSG00000100053",16.4310854210283,-0.915146436000253,0.849295978200755,-1.07753534632179,0.28124116860405,0.743968057163269
"ENSMUSG00000085125",3.90838153626163,-2.43081131430398,1.28363496739421,-1.89369359362229,0.0582656921679612,0.363127231995095
"ENSMUSG00000025776",29.6119796585245,-1.01515636033367,0.831114600290374,-1.22143969072255,0.221919587049824,0.684614394950587
"ENSMUSG00000041859",577.641215050381,-0.297524723570825,0.695304890365268,-0.427905409114158,0.66871998882849,0.933869988371928
"ENSMUSG00000097934",12.7172761871282,0.179038903435424,0.709196685231949,0.25245310245192,0.80069085912054,0.961385478441491
"ENSMUSG00000025931",442.393548033191,0.479681811289966,0.440054646015365,1.09005055538765,0.275690874951879,0.738045259296156
"ENSMUSG00000041809",270.817280659408,-0.65130560922793,0.396550919619199,-1.64242617279357,0.100501714543945,0.481333933572745
"ENSMUSG00000041779",3721.92686419518,-0.312571742628452,0.287369887346528,-1.08769831632197,0.276728311268916,0.739370127652988
"ENSMUSG00000025933",140.44939709179,0.187040255427584,0.405271668399308,0.461518211145459,0.644426858876467,0.926681647124883
"ENSMUSG00000025934",242.910828743717,2.43362145220477,0.91235074634524,2.66741871144793,0.00764363772899131,0.111947444239185
"ENSMUSG00000082935",122.567444036958,-0.349234867225311,0.272566016393399,-1.28128543626383,0.20009342641963,0.65736192866953
"ENSMUSG00000026158",392.757325073408,-0.168471021685158,0.287362422601176,-0.586266708639824,0.557696299284214,0.896425138094024
"ENSMUSG00000097920",5.54443418232808,-0.220680269123812,1.30652023168448,-0.168906890051975,0.865869879591984,0.975150514085187
"ENSMUSG00000026156",53.8860072510076,0.0496478966588116,0.428404821642405,0.115890144439722,0.907739606662535,0.982302386447511
"ENSMUSG00000026155",2104.05473169173,0.350223148390234,0.316471222858245,1.10665085193894,0.268444912268726,0.731127003666314
"ENSMUSG00000026154",286.717123928908,0.127661973388571,0.373070850003839,0.342192303116842,0.732206177211331,0.946911226231725
"ENSMUSG00000026153",2276.63510520762,0.199478229416111,0.299738035054475,0.665508564436468,0.50572526752641,0.875408128921233
"ENSMUSG00000102398",3.87609439547229,1.40478808789224,1.28539663208208,1.09288296921766,0.274445186741929,0.736916550406236
"ENSMUSG00000101939",48.6219804624537,-0.352011903426957,0.412216809837213,-0.853948444183945,0.393133555970293,0.81680036552679
"ENSMUSG00000100862",19.2033906794037,-0.511210941104292,0.520076533867217,-0.98295329209145,0.325630427306012,0.775153021793738
"ENSMUSG00000101249",7.43093355812613,-0.589915664196688,0.794420005493268,-0.742574028999181,0.457739616985318,0.853825924531664
"ENSMUSG00000073725",2518.91412250049,0.0274925378005919,0.19652584470163,0.139892734425498,0.888744741928265,0.978983944806597
"ENSMUSG00000099492",5.98515450836291,-1.06918419465203,0.970884612627066,-1.10124744047491,0.270788979518325,0.733865276026917
"ENSMUSG00000048874",5357.16688116508,0.121863679247587,0.263182980100723,0.463037842344321,0.643337242421891,0.926681647124883
"ENSMUSG00000103783",6.00694363845457,-0.852028533143652,1.22261884109618,-0.696888109772411,0.485872819446267,0.864553470409202
"ENSMUSG00000104315",9.92553741994664,-0.61510498673975,1.03738058777621,-0.592940521528675,0.55322095819749,0.89518742608179
"ENSMUSG00000026064",396.186915334142,0.0255588244253038,0.38124882596587,0.067039745920665,0.946550061686776,0.987944307502352
"ENSMUSG00000026134",496.442219314382,0.303881355660494,0.340251708285681,0.893107509118955,0.371799602078215,0.80575608018508
"ENSMUSG00000103746",23.800049694092,0.564659478411284,0.546235177316239,1.03372961292161,0.301262585166069,0.758151804623531
"ENSMUSG00000004768",3235.2123077433,0.550564774427632,0.451814600495859,1.21856348560537,0.223009915123258,0.685342195246259
"ENSMUSG00000042215",1466.73511803936,0.728470142774906,0.515070126516934,1.41431254749921,0.157270154442414,0.589469602116747
"ENSMUSG00000042197",2601.64065968021,0.167126061163538,0.289521133897958,0.577249953789011,0.563770616102545,0.898474027015716
"ENSMUSG00000042182",188.292383390536,-0.436510474765323,0.401946050898155,-1.08599269426813,0.277482224480417,0.739604386340347
"ENSMUSG00000026131",1083.92072898081,0.319361667043441,0.307411023072549,1.03887513157936,0.298862813489996,0.757105430336006
